Forced forging disabled for nethash 704f232786a9bff25d0630c06abbc34957448ba6309d6dcef949cf9a6f43954a
[inf] 2017-12-21 01:00:31 | Block 6989571256894240145 loaded from: 146.185.158.174:18124 - height: 45
[inf] 2017-12-21 01:00:31 | Block 6508433656238356534 loaded from: 146.185.158.174:18124 - height: 46
[inf] 2017-12-21 01:00:31 | Block 13829647543804754459 loaded from: 146.185.158.174:18124 - height: 47
[inf] 2017-12-21 01:00:31 | Block 557509609383871088 loaded from: 146.185.158.174:18124 - height: 48
[inf] 2017-12-21 01:00:31 | Block 2806164346756977211 loaded from: 146.185.158.174:18124 - height: 49
[inf] 2017-12-21 01:00:31 | Block 7149089154514642754 loaded from: 146.185.158.174:18124 - height: 50
[inf] 2017-12-21 01:00:31 | Block 16764520740063548681 loaded from: 146.185.158.174:18124 - height: 51
[inf] 2017-12-21 01:00:31 | Block 16362164932734437182 loaded from: 146.185.158.174:18124 - height: 52
[inf] 2017-12-21 01:00:31 | Block 17142258087020943356 loaded from: 146.185.158.174:18124 - height: 53
[inf] 2017-12-21 01:00:31 | Block 4310505676663076840 loaded from: 146.185.158.174:18124 - height: 54
[inf] 2017-12-21 01:00:31 | Block 151900269075888302 loaded from: 146.185.158.174:18124 - height: 55
[inf] 2017-12-21 01:00:31 | Block 3515755651241733124 loaded from: 146.185.158.174:18124 - height: 56
[inf] 2017-12-21 01:00:31 | Block 194206654253780717 loaded from: 146.185.158.174:18124 - height: 57
[inf] 2017-12-21 01:00:31 | Block 3739702147863702816 loaded from: 146.185.158.174:18124 - height: 58
[inf] 2017-12-21 01:00:31 | Block 10944539923170607151 loaded from: 146.185.158.174:18124 - height: 59
[inf] 2017-12-21 01:00:31 | Block 11143442363475698733 loaded from: 146.185.158.174:18124 - height: 60
[inf] 2017-12-21 01:00:31 | Block 11369034397159677317 loaded from: 146.185.158.174:18124 - height: 61
[inf] 2017-12-21 01:00:31 | Block 15161306589514355614 loaded from: 146.185.158.174:18124 - height: 62
[inf] 2017-12-21 01:00:31 | Block 7802754096941030399 loaded from: 146.185.158.174:18124 - height: 63
[inf] 2017-12-21 01:00:31 | Block 15206847818434759053 loaded from: 146.185.158.174:18124 - height: 64
[inf] 2017-12-21 01:00:31 | Block 14925882913471552760 loaded from: 146.185.158.174:18124 - height: 65
[inf] 2017-12-21 01:00:31 | Block 15987242624404233583 loaded from: 146.185.158.174:18124 - height: 66
[inf] 2017-12-21 01:00:31 | Block 4296647528512234091 loaded from: 146.185.158.174:18124 - height: 67
[inf] 2017-12-21 01:00:31 | Looking for common block with: 139.59.179.52:18124
[inf] 2017-12-21 01:00:31 | Found common block: 4296647528512234091 with: 139.59.179.52:18124
[inf] 2017-12-21 01:00:31 | Loading blocks from: 139.59.179.52:18124
[inf] 2017-12-21 01:00:31 | Block 16183859382209241743 loaded from: 139.59.179.52:18124 - height: 68
[inf] 2017-12-21 01:00:31 | Block 17494055035950747264 loaded from: 139.59.179.52:18124 - height: 69
[inf] 2017-12-21 01:00:31 | Block 17494708813161826799 loaded from: 139.59.179.52:18124 - height: 70
[inf] 2017-12-21 01:00:31 | Block 10107590870083183197 loaded from: 139.59.179.52:18124 - height: 71
[inf] 2017-12-21 01:00:31 | Block 6444656571647272967 loaded from: 139.59.179.52:18124 - height: 72
[inf] 2017-12-21 01:00:31 | Block 11982901252237391234 loaded from: 139.59.179.52:18124 - height: 73
[inf] 2017-12-21 01:00:31 | Block 15666431775351535850 loaded from: 139.59.179.52:18124 - height: 74
[inf] 2017-12-21 01:00:31 | Block 15577706742889433886 loaded from: 139.59.179.52:18124 - height: 75
[inf] 2017-12-21 01:00:31 | Block 6577837003493987437 loaded from: 139.59.179.52:18124 - height: 76
[inf] 2017-12-21 01:00:31 | Block 5811505218167211280 loaded from: 139.59.179.52:18124 - height: 77
[inf] 2017-12-21 01:00:31 | Block 5752178965579106664 loaded from: 139.59.179.52:18124 - height: 78
[inf] 2017-12-21 01:00:31 | Block 281072888331997743 loaded from: 139.59.179.52:18124 - height: 79
[inf] 2017-12-21 01:00:31 | Block 11032413236190556325 loaded from: 139.59.179.52:18124 - height: 80
